26,9,2013,6,2,2.46791666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
27,9,2013,6,2,2.46791666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
28,9,2013,6,2,2.46791666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
29,9,2013,6,2,2.46791666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
30,9,2013,6,2,2.46791666666667e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
1,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
2,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
3,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
4,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
5,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
6,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
7,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
8,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
9,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
10,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
11,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
12,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
13,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
14,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
15,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
16,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
17,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
18,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
19,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
20,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
21,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
22,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
23,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
24,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
25,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
26,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
27,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
28,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
29,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
30,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
31,10,2013,6,2,2.02586129032258e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
1,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
2,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
3,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
4,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
5,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
6,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
7,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
8,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
9,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
10,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
11,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
12,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
13,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
14,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
15,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
16,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
17,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
18,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
19,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
20,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
21,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
22,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
23,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
24,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
25,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
26,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
27,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
28,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
29,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
30,11,2013,6,2,2.47278333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
1,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
2,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
3,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
4,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
5,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
6,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
7,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
8,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
9,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
10,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
11,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
12,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
13,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
14,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
15,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
16,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
17,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
18,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
19,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
20,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
21,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
22,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
23,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
24,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
25,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
26,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
27,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
28,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
29,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
30,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
31,12,2013,6,2,2.00316774193548e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
1,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
2,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
3,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
4,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
5,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
6,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
7,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
8,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
9,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
10,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
11,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
12,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
13,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
14,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
15,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
16,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
17,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
18,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
19,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
20,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
21,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
22,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
23,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
24,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
25,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
26,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
27,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
28,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
29,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
30,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
31,1,2014,6,2,1.81604516129032e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
1,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
2,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
3,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
4,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
5,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
6,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
7,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
8,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
9,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
10,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
11,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
12,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
13,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
14,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
15,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
16,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
17,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
18,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
19,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
20,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
21,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
22,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
23,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
24,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
25,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
26,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
27,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
28,2,2014,6,2,1.90947857142857e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
1,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
2,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
3,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
4,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
5,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
6,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
7,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
8,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
9,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
10,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
11,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
12,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
13,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
14,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
15,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
16,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
17,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
18,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
19,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
20,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
21,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
22,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
23,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
24,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
25,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
26,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
27,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
28,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
29,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
30,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
31,3,2014,6,2,8.95877419354839e-06,0.99,0,1,4,0,0,0,1,4,0,0,0,
1,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
2,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
3,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
4,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
5,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
6,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
7,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
8,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
9,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
10,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
11,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
12,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
13,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
14,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
15,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
16,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
17,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
18,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
19,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
20,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
21,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
22,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
23,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
24,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
25,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
26,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
27,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
28,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
29,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
30,4,2014,6,2,4.07928e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
1,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
2,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
3,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
4,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
5,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
6,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
7,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
8,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
9,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
10,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
11,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
12,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
13,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
14,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
15,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
16,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
17,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
18,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
19,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
20,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
21,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
22,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
23,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
24,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
25,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
26,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
27,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
28,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
29,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
30,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
31,5,2014,6,2,2.33585161290323e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
1,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
2,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
3,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
4,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
5,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
6,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
7,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
8,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
9,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
10,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
11,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
12,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
13,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
14,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
15,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
16,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
17,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
18,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
19,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
20,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
21,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
22,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
23,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
24,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
25,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
26,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
27,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
28,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
29,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
30,6,2014,6,2,2.01964333333333e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
1,7,2014,6,2,2.1023064516129e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
2,7,2014,6,2,2.1023064516129e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
3,7,2014,6,2,2.1023064516129e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
4,7,2014,6,2,2.1023064516129e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
5,7,2014,6,2,2.1023064516129e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
6,7,2014,6,2,2.1023064516129e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
7,7,2014,6,2,2.1023064516129e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
8,7,2014,6,2,2.1023064516129e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
9,7,2014,6,2,2.1023064516129e-05,0.99,0,1,4,0,0,0,1,4,0,0,0,
